,Total North America,Total S. & Cent. America,Total Europe,Total CIS,Total Middle East,Total Africa,Total Asia Pacific,Total World,Year
0,2.8196868686868686,0.0,0.7794604148888888,0.0,0.001,0.0,0.03232323232323232,3.63247051589899,1990
1,2.983677777777778,0.0,0.980027987838384,0.0,0.001,0.0,0.12200090909090909,4.08670667470707,1991
2,2.9766898989898993,0.0,1.5350480797575754,0.0,0.001,0.0,0.22047404040404042,4.733212019151515,1992
3,3.0961888888888898,0.0017171717171717172,2.2848260921212127,0.0,0.001,0.002,0.3118366666666667,5.69756881939394,1993
4,3.5459282828282834,0.007777777777777778,2.9792357028282828,0.0,0.001,0.0054,0.5835880808080809,7.1229298442424245,1994
5,3.2622151515151523,0.007777777777777778,3.8630292012121203,0.0,0.001,0.0063,1.121601313131313,8.261923443636364,1995
6,3.334736363636363,0.04197398522222222,4.828585245252524,0.0,0.001,0.0070999999999999995,0.9912050664848486,9.204600660595961,1996
7,3.3952474747474746,0.102925997979798,7.295492955555556,0.0,0.003,0.007200000000000001,1.2139500414949493,12.01781646977778,1997
8,3.1332585858585857,0.1113723801988889,11.176479135151517,0.0,0.003,0.0076,1.4895501665959596,15.921260267804952,1998
9,4.712331313131313,0.14847192031646464,14.244321766767678,0.0,0.038000000000000006,0.019799999999999998,2.0532490063939393,21.216174006609396,1999
10,5.932758585858587,0.25211479573939394,22.45471420282828,0.0019,0.0395,0.1755,2.563946979704687,31.42043456413095,2000
11,7.152384848484848,0.32099102532626267,26.934286655353535,0.0031,0.046700000000000005,0.41558,3.5174094179774134,38.39045194714206,2001
12,10.884868686868689,0.4588667384121212,36.42594931474748,0.0062,0.044300000000000006,0.44358400000000003,4.067013246678828,52.33078198670712,2002
13,12.009470707070708,0.44309745380303034,44.531152285656574,0.0086,0.042600000000000006,0.5355989999999999,5.340875855153624,62.91139530168394,2003
14,15.251607070707072,0.5434144919363636,59.29678685959597,0.00801010101010101,0.0614,0.768280505050505,9.186693399973159,85.11619242827317,2004
15,19.561453535353532,0.5323011405121212,71.09674936519127,0.0078000000000000005,0.08600000000000001,0.7803821111111112,12.01919360571405,104.08387975788209,2005
16,29.350714141414144,0.7737892703475756,83.16413987836481,0.008799999999999999,0.1394,0.852565606060606,18.569807133841692,132.85921603002876,2006
17,38.02311206060607,1.161459974647495,105.71319376702102,0.010499999999999999,0.155,1.0162233636393438,24.603131414364725,170.68262058027867,2007
18,59.96583737373738,1.6704335559913965,121.35390149753569,0.0081,0.2101,1.3117781313131314,36.07989459541916,220.60004515399677,2008
19,81.87046085858586,2.0779276128222435,135.38322861318696,0.0112,0.2405,1.5892309393954298,54.84797827508659,276.0205262990772,2009
20,105.57163232323234,3.449127766670986,153.44349686417544,0.009786,0.2222,2.2845824343391428,81.4841965496602,346.4650219380781,2010
21,133.2273991666667,4.324359014793407,186.65740323090515,0.012539000000000002,0.2258,2.386503939379634,113.55108762856062,440.38509198030556,2011
22,157.2439426010101,7.804147351952749,215.03240506403205,0.018116,0.21660000000000001,2.5156302404970825,147.72358009362827,530.5544213511203,2012
23,184.86508328282827,10.196910547083306,248.11525575332092,0.0211217,0.22808900000000001,3.593447302555749,188.47214342588194,635.49205101167,2013
24,202.73345020202018,18.58168150222464,264.8150199599065,0.1256712,0.217278,5.060072834212317,214.27268709044878,705.8058607888123,2014
25,228.35648361111112,31.460386821823096,318.93123001945844,0.32905929999999994,0.381789,8.91068628262324,243.0600532468541,831.42968828187,2015
26,270.5966280555555,45.17700349139687,322.86787634830216,0.5239033,0.678,11.176370672793865,311.2076135413301,962.2273954093787,2016
27,299.0048059090909,56.1317767046775,384.21652140632875,0.6069637,0.795329,12.457774095742918,387.0977782266881,1140.3109490425286,2017
28,321.65474747474747,65.75898694486519,403.2175947741743,0.8290751,1.33765,14.770723351762967,461.95175806528346,1269.5205357108334,2018
29,348.25753233661374,78.76494008818459,460.0298128093289,1.3396434,1.5520814049442262,18.857729132981873,509.36830709449487,1418.170046266548,2019
30,396.7282981316594,85.41842604930743,510.13807100777274,2.598588621010873,1.9041792796486179,21.789843068502105,572.636106061397,1591.2135122192983,2020
